analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.589931115050968,1.981692407685705,0.6105572169155736,0.2013888888888889,0.023284245586055293,0.2309792201277351
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,ALL,Commercial/Transit (商业与交通枢纽区),1.8900596000124845,2.454163719962085,0.6420319290886728,0.2152777777777778,0.010460383052645406,0.2657003555288988
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.7399953575317264,2.2304735330258127,0.6262945730021232,0.20833333333333334,0.01678334797868249,0.24834408643481976
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,ALL,Educational (文教科研区),1.5162606465775905,2.046455219772614,0.5219443650204466,0.4010416666666667,0.004975124378109566,0.14466788744099762
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,ALL,Educational (文教科研区),2.036961044217694,2.8426706388953074,0.6070686281828909,0.28125,0.013013013013013013,0.19650296993218797
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,ALL,Educational (文教科研区),1.7766108453976424,2.4767675837441865,0.5645064966016687,0.3411458333333333,0.003992015968063872,0.17042288630555347
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,ALL,Recreational/Public (休闲与公共设施区),1.8003374401235879,2.310443703749496,0.6662135986377714,0.203125,0.031543703813388294,0.29937876265385716
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,ALL,Recreational/Public (休闲与公共设施区),1.7919858699860374,2.3575244600421303,0.687862182144443,0.17708333333333334,0.04957534747364693,0.28948296164574117
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,ALL,Recreational/Public (休闲与公共设施区),1.7961616550548125,2.3341027920694306,0.6770378903911073,0.19010416666666666,0.00994663967320197,0.29383803942929043
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.589931115050968,1.981692407685705,0.6105572169155736,0.2013888888888889,0.023284245586055293,0.2309792201277351
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,ALL,Commercial/Transit (商业与交通枢纽区),1.8900596000124845,2.454163719962085,0.6420319290886728,0.2152777777777778,0.010460383052645406,0.2657003555288988
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.7399953575317264,2.2304735330258127,0.6262945730021232,0.20833333333333334,0.01678334797868249,0.24834408643481976
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,ALL,Educational (文教科研区),1.5162606465775905,2.046455219772614,0.5219443650204466,0.4010416666666667,0.004975124378109566,0.14466788744099762
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,ALL,Educational (文教科研区),2.036961044217694,2.8426706388953074,0.6070686281828909,0.28125,0.013013013013013013,0.19650296993218797
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,ALL,Educational (文教科研区),1.7766108453976424,2.4767675837441865,0.5645064966016687,0.3411458333333333,0.003992015968063872,0.17042288630555347
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,ALL,Recreational/Public (休闲与公共设施区),1.8003374401235879,2.310443703749496,0.6662135986377714,0.203125,0.031543703813388294,0.29937876265385716
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,ALL,Recreational/Public (休闲与公共设施区),1.7919858699860374,2.3575244600421303,0.687862182144443,0.17708333333333334,0.04957534747364693,0.28948296164574117
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,ALL,Recreational/Public (休闲与公共设施区),1.7961616550548125,2.3341027920694306,0.6770378903911073,0.19010416666666666,0.00994663967320197,0.29383803942929043
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.6041666666666667,2.022443516585266,0.4601790335718678,0.25,0.02512562814070352,0.2335077449101176
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,return,ALL,Commercial/Transit (商业与交通枢纽区),1.9305555555555556,2.5358540091171564,0.4909798571985152,0.2847222222222222,0.011730205278592375,0.27343212927591215
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.7673611111111112,2.2935598240871475,0.4755794453851915,0.2673611111111111,0.018334985133795837,0.2540532481768075
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,borrow,ALL,Educational (文教科研区),1.5052083333333333,2.065338955232288,0.3587710139223163,0.515625,0.006467661691542288,0.14416154521510094
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,return,ALL,Educational (文教科研区),2.0416666666666665,2.8722813232690143,0.4236216510202285,0.390625,0.012012012012012012,0.19936045467960362
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,7,round_only,combined,ALL,Educational (文教科研区),1.7734375,2.5015620120236877,0.3911963324712724,0.453125,0.0027445109780439123,0.17089963180968562
